date,home_team,away_team,home_score,away_score,round,"home_winner
",home_loss,home_draw
2019-09-15,SAO,CSA,1,1,19,0,0,1
2019-09-15,BAH,FOR,1,1,19,0,0,1
2019-09-21,CRU,FLA,1,2,20,0,1,0
2019-09-21,COR,BAH,2,1,20,1,0,0
2019-09-21,BOT,SAO,1,2,20,0,1,0
2019-09-21,SAN,GRE,0,3,20,0,1,0
2019-09-22,GOI,FLU,3,0,20,1,0,0
2019-09-22,FOR,PAL,0,1,20,0,1,0
2019-09-22,VAS,ATLPR,1,1,20,0,0,1
2019-09-22,INT,CHA,1,0,20,1,0,0
2019-09-22,CSA,CEA,1,0,20,1,0,0
2019-09-23,AVA,ATLMG,1,0,20,1,0,0
2019-09-25,BAH,BOT,2,0,21,1,0,0
2019-09-25,CEA,CRU,0,0,21,0,0,1
2019-09-25,FLA,INT,3,1,21,1,0,0
2019-09-25,SAO,GOI,0,1,21,0,1,0
2019-09-26,FLU,SAN,1,1,21,0,0,1
2019-09-26,GRE,AVA,6,1,21,1,0,0
2019-09-26,PAL,CSA,6,2,21,1,0,0
2019-09-26,ATLPR,FOR,4,1,21,1,0,0
2019-09-28,FLA,SAO,0,0,22,0,0,1
2019-09-29,COR,VAS,1,0,22,1,0,0
2019-09-29,INT,PAL,1,1,22,0,0,1
2019-09-29,FLU,GRE,2,1,22,1,0,0
2019-09-29,ATLPR,CHA,1,1,22,0,0,1
2019-09-29,SAN,CSA,2,0,22,1,0,0
2019-09-29,ATLMG,CEA,2,1,22,1,0,0
2019-09-30,FOR,BOT,1,0,22,1,0,0
2019-09-30,AVA,BAH,0,2,22,0,1,0
2019-09-30,GOI,CRU,1,0,22,1,0,0
2019-10-02,CHA,COR,0,1,22,0,1,0
2019-10-02,ATLMG,VAS,1,2,22,0,1,0
2019-10-05,GRE,COR,0,0,23,0,0,1
2019-10-05,VAS,SAN,0,1,23,0,1,0
2019-10-05,CRU,INT,1,1,23,0,0,1
2019-10-05,BAH,ATLPR,1,2,23,0,1,0
2019-10-05,SAO,FOR,2,1,23,1,0,0
2019-10-06,CHA,FLA,0,1,23,0,1,0
2019-10-06,BOT,FLU,0,1,23,0,1,0
2019-10-06,PAL,ATLMG,1,1,23,0,0,1
2019-10-06,CEA,GOI,0,1,23,0,1,0
2019-10-06,CSA,AVA,3,1,23,1,0,0
2019-10-09,CRU,FLU,0,0,24,0,0,1
2019-10-09,SAN,PAL,2,0,24,1,0,0
2019-10-09,BAH,SAO,0,0,24,0,0,1
2019-10-09,CSA,INT,1,0,24,1,0,0
2019-10-09,BOT,GOI,3,1,24,1,0,0
2019-10-09,FOR,CHA,2,0,24,1,0,0
2019-10-09,GRE,CEA,2,1,24,1,0,0
